goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,52,AMR,Brentford,Sunderland,3,0,2026-01-07,28981,2025,762250,0,0,0,0,0,0,0
0,0,0,5,Sub,Tottenham,Sunderland,1,1,2026-01-04,28969,2025,761589,0,0,0,0,0,0,0
0,0,0,73,AMR,Sunderland,Leeds,1,1,2025-12-28,28956,2025,760322,0.2976710796356201,0,1,0,0,0.45432591438293457,0.15665481984615326
0,2,0.13697724044322968,67,AMR,Brighton,Sunderland,0,0,2025-12-20,28940,2025,759080,0,0,0,0,0.13697724044322968,0.21870480477809906,0.08172755688428879
0,0,0,12,Sub,Chelsea,Sunderland,1,2,2025-10-25,28862,2025,745925,0,0,0,0,0,0,0
0,0,0,80,AMC,Sunderland,Wolverhampton Wanderers,2,0,2025-10-18,28855,2025,744258,0.026851192116737366,0,1,0,0,0.09076857566833496,0.0639173835515976
0,1,0.04101390019059181,61,AMC,Nottingham Forest,Sunderland,0,1,2025-09-27,28834,2025,740895,0,0,0,0,0.04101390019059181,0,0
0,1,0.07086944580078125,36,MC,Sunderland,Aston Villa,1,1,2025-09-21,28826,2025,739253,0.06845347583293915,0,1,0,0.07086944580078125,0.09821019321680069,0.029756717383861542
0,0,0,1,Sub,Crystal Palace,Sunderland,0,0,2025-09-13,28811,2025,736961,0,0,0,0,0,0,0
0,0,0,1,Sub,Sunderland,West Ham,3,0,2025-08-16,28781,2025,731798,0,0,0,0,0,0,0
