goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,22,Sub,Arsenal,Sunderland,3,0,2026-02-07,29019,2025,768649,0,0,0,0,0,0,0
0,0,0,6,Sub,Sunderland,Burnley,3,0,2026-02-02,29011,2025,768163,0,0,0,0,0,0,0
0,0,0,49,ML,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765370,0,0,0,0,0,0,0
0,0,0,90,AML,Sunderland,Crystal Palace,2,1,2026-01-17,28995,2025,764197,0,0,0,0,0,0.045227233320474625,0.045227233320474625
0,2,0.16264384984970093,38,Sub,Brentford,Sunderland,3,0,2026-01-07,28981,2025,762258,0.017134571447968483,0,1,0,0.16264384984970093,0.16264384984970093,0
0,0,0,28,Sub,Tottenham,Sunderland,1,1,2026-01-04,28969,2025,761588,0,0,0,0,0,0.09442068636417389,0.09442068636417389
0,0,0,13,Sub,Sunderland,Manchester City,0,0,2026-01-01,28966,2025,760775,0,0,0,0,0,0,0
0,0,0,1,Sub,Sunderland,Leeds,1,1,2025-12-28,28956,2025,760328,0,0,0,0,0,0,0
0,2,0.10733425617218018,24,Sub,Brighton,Sunderland,0,0,2025-12-20,28940,2025,759086,0,0,0,0,0.10733425617218018,0.2232895791530609,0.11595531553030014
0,0,0,4,Sub,Sunderland,Newcastle United,1,0,2025-12-14,28936,2025,758152,0,0,0,0,0,0,0
0,1,0.019344884902238846,15,Sub,Manchester City,Sunderland,3,0,2025-12-06,28924,2025,755996,0,0,0,0,0.019344884902238846,0.019344884902238846,0
0,0,0,19,Sub,Sunderland,Bournemouth,3,2,2025-11-29,28905,2025,753701,0,0,0,0,0,0,0
