goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,75,DMC,Arsenal,Sunderland,3,0,2026-02-07,29019,2025,768640,0.02736898884177208,0,1,0,0,0.02736898884177208,0
0,1,0.023223964497447014,90,MC,Sunderland,Burnley,3,0,2026-02-02,29011,2025,768157,0,0,0,0,0.023223964497447014,0.1606922149658203,0.1606922149658203
0,1,0.051268741488456726,90,MC,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765368,0,0,0,0,0.051268741488456726,0.3699042499065399,0.318635493516922
0,0,0,90,DMC,Sunderland,Crystal Palace,2,1,2026-01-17,28995,2025,764193,0,0,0,0,0,0.7158923149108887,0.7158923149108887
0,0,0,90,DMC,Sunderland,Newcastle United,1,0,2025-12-14,28936,2025,758145,0,0,0,0,0,0,0
0,1,0.020990997552871704,75,MC,Manchester City,Sunderland,3,0,2025-12-06,28924,2025,755989,0,0,0,0,0.020990997552871704,0.10036486387252808,0.07937386631965637
0,1,0.06206604093313217,90,MC,Liverpool,Sunderland,1,1,2025-12-03,28914,2025,755287,0.012263569980859756,0,1,0,0.06206604093313217,0.012263569980859756,0.012263569980859756
0,0,0,90,DMC,Sunderland,Bournemouth,3,2,2025-11-29,28905,2025,753693,0,0,0,0,0,0,0
0,0,0,90,MC,Fulham,Sunderland,1,0,2025-11-22,28892,2025,752042,0,0,0,0,0,0,0
0,0,0,90,MC,Sunderland,Arsenal,2,2,2025-11-08,28885,2025,750387,0.16303971409797668,0,2,0,0,0.257688969373703,0.1999192088842392
0,1,0.04510537162423134,90,MC,Sunderland,Everton,1,1,2025-11-03,28875,2025,749593,0.061519380658864975,0,1,0,0.04510537162423134,0.23163579404354095,0.23163579404354095
0,0,0,90,MC,Chelsea,Sunderland,1,2,2025-10-25,28862,2025,745919,0.04475153237581253,0,1,0,0,0.1719110906124115,0.12715955078601837
0,1,0.05619838088750839,90,DMC,Sunderland,Wolverhampton Wanderers,2,0,2025-10-18,28855,2025,744255,0,0,0,0,0.05619838088750839,0.12011576443910599,0.0639173835515976
0,0,0,90,DMC,Manchester United,Sunderland,2,0,2025-10-04,28845,2025,742449,0,0,0,0,0,0.29415109753608704,0.29415109753608704
0,1,0.02774260938167572,90,DMC,Nottingham Forest,Sunderland,0,1,2025-09-27,28834,2025,740892,0,0,0,0,0.02774260938167572,0.02774260938167572,0
0,0,0,90,MC,Sunderland,Aston Villa,1,1,2025-09-21,28826,2025,739251,0.022139864042401314,0,1,0,0,0.09059333801269531,0.06845347583293915
0,1,0.03912274166941643,88,MC,Crystal Palace,Sunderland,0,0,2025-09-13,28811,2025,736953,0,0,0,0,0.03912274166941643,0.13721176981925964,0.13721176981925964
0,0,0,90,MC,Sunderland,Brentford,2,1,2025-08-30,28801,2025,735073,0.06907283514738083,0,2,0,0,0.06907283514738083,0.012669884599745274
0,0,0,90,MC,Burnley,Sunderland,2,0,2025-08-23,28791,2025,733280,0,0,0,0,0,0.3814041018486023,0.3814041018486023
0,0,0,90,MC,Sunderland,West Ham,3,0,2025-08-16,28781,2025,731789,0,0,0,0,0,0.3412873148918152,0.3412873148918152
